class,class_name,rank,token,mean_attn
0,not_stereotype,1,▁mena,0.005753
0,not_stereotype,2,▁ponte,0.005549
0,not_stereotype,3,▁homosexual,0.005118
0,not_stereotype,4,▁urgente,0.005041
0,not_stereotype,5,▁musulman,0.009615
0,not_stereotype,6,▁nuevas,0.00767
0,not_stereotype,7,▁muerte,0.002307
0,not_stereotype,8,▁relación,0.002291
0,not_stereotype,9,▁joven,0.002249
0,not_stereotype,10,▁domingo,0.002211
0,not_stereotype,11,▁sábado,0.002206
0,not_stereotype,12,▁madrugada,0.002161
0,not_stereotype,13,▁investigación,0.002154
0,not_stereotype,14,▁abierta,0.002118
0,not_stereotype,15,▁realizado,0.002106
0,not_stereotype,16,▁continúa,0.002093
0,not_stereotype,17,▁momento,0.002619
0,not_stereotype,18,▁aunque,0.002195
0,not_stereotype,19,▁podemos,0.00739
0,not_stereotype,20,▁crear,0.00722
0,not_stereotype,21,▁mujeres,0.007906
0,not_stereotype,22,▁playa,0.007224
0,not_stereotype,23,▁petición,0.001891
0,not_stereotype,24,▁comunidad,0.001928
0,not_stereotype,25,▁pues,0.001307
0,not_stereotype,26,▁multa,0.000926
0,not_stereotype,27,▁siguiente,0.000917
0,not_stereotype,28,▁calle,0.001239
0,not_stereotype,29,▁solución,0.000937
0,not_stereotype,30,▁basa,0.000526
1,stereotype,1,▁población,0.006533
1,stereotype,2,▁llegado,0.005484
1,stereotype,3,▁equivalente,0.004988
1,stereotype,4,▁horas,0.00481
1,stereotype,5,▁isla,0.002611
1,stereotype,6,▁ocupa,0.002022
1,stereotype,7,▁europa,0.001829
1,stereotype,8,▁fuerte,0.001807
1,stereotype,9,▁lanzar,0.001788
1,stereotype,10,▁mayor,0.001857
1,stereotype,11,▁oriental,0.00172
1,stereotype,12,▁territorio,0.001275
1,stereotype,13,▁moro,0.002835
1,stereotype,14,▁empieza,0.001283
1,stereotype,15,▁número,0.001664
1,stereotype,16,▁toma,0.001276
1,stereotype,17,▁preocupa,0.00101
1,stereotype,18,▁autó,0.00187
1,stereotype,19,▁pacífica,0.001151
1,stereotype,20,▁darle,0.001106
1,stereotype,21,▁resultados,0.00109
1,stereotype,22,▁estrategia,0.001087
1,stereotype,23,▁inmigrantes,0.002484
1,stereotype,24,▁papel,0.001338
1,stereotype,25,▁situación,0.000968
1,stereotype,26,▁manera,0.001108
1,stereotype,27,▁control,0.000703
1,stereotype,28,▁tener,0.000828
1,stereotype,29,▁pasar,0.001365
1,stereotype,30,▁derechos,0.000772
